Year,Count,Name,Gender,Ranking
2006,10940,Natalie,F,17
2006,10396,Chloe,F,18
2006,10169,Alyssa,F,19
2006,9359,Brianna,F,20
2006,24820,Jacob,M,1
2006,22620,Michael,M,2
2006,22298,Joshua,M,3
2006,20498,Ethan,M,4
2006,20309,Matthew,M,5
2006,20043,Daniel,M,6
2006,19701,Andrew,M,7
2006,19659,Christopher,M,8
2006,19388,Anthony,M,9
2006,18938,William,M,10
2006,18422,Joseph,M,11
2006,18212,Alexander,M,12
2006,17609,David,M,13
2006,16422,Ryan,M,14
2006,16320,Noah,M,15
2006,16225,James,M,16
2006,15661,Nicholas,M,17
2006,15528,Tyler,M,18
2006,15152,John,M,19
2006,15136,Logan,M,20
2005,23925,Emily,F,1
2005,20332,Emma,F,2
2005,19559,Madison,F,3
2005,15746,Abigail,F,4
2005,15690,Olivia,F,5
2005,15168,Isabella,F,6
2005,14840,Hannah,F,7
2005,13631,Samantha,F,8
2005,13601,Ava,F,9
2005,13270,Ashley,F,10
2005,12718,Elizabeth,F,11
2005,12667,Sophia,F,12
2005,11959,Alexis,F,13
2005,11859,Grace,F,14
2005,11523,Sarah,F,15
2005,10879,Alyssa,F,16
2005,10838,Mia,F,17
2005,10728,Natalie,F,18
2005,9583,Chloe,F,19
2005,9354,Brianna,F,20
2005,25814,Jacob,M,1
2005,23789,Michael,M,2
2005,23231,Joshua,M,3
2005,21452,Matthew,M,4
2005,21300,Ethan,M,5
2005,20715,Andrew,M,6
2005,20197,Daniel,M,7
2005,19359,Anthony,M,8
2005,19193,Joseph,M,9
2005,19156,Christopher,M,10
2005,19040,William,M,11
2005,18106,Alexander,M,12
2005,18093,David,M,13
2005,17977,Ryan,M,14
2005,17064,Nicholas,M,15
2005,16979,Tyler,M,16
2005,16118,James,M,17
2005,15757,John,M,18
2005,14430,Jonathan,M,19
2005,14346,Nathan,M,20
2004,25021,Emily,F,1
2004,21596,Emma,F,2
2004,20614,Madison,F,3
2004,16100,Olivia,F,4
2004,15598,Hannah,F,5
2004,15422,Abigail,F,6
2004,15012,Isabella,F,7
2004,14369,Ashley,F,8
2004,13774,Samantha,F,9
2004,13547,Elizabeth,F,10
2004,13464,Alexis,F,11
2004,12724,Sarah,F,12
2004,12525,Grace,F,13
2004,12099,Alyssa,F,14
2004,10913,Sophia,F,15
2004,9981,Lauren,F,16
2004,9795,Brianna,F,17
2004,9764,Kayla,F,18
2004,9686,Natalie,F,19
2004,9514,Anna,F,20
2004,27870,Jacob,M,1
2004,25434,Michael,M,2
2004,24181,Joshua,M,3
2004,22866,Matthew,M,4
2004,22201,Ethan,M,5
2004,21691,Andrew,M,6
2004,20963,Daniel,M,7
2004,20219,William,M,8
2004,20111,Joseph,M,9
2004,19617,Christopher,M,10
2004,19590,Anthony,M,11
2004,19485,Ryan,M,12
2004,18504,Nicholas,M,13
2004,18369,David,M,14
2004,17914,Alexander,M,15
2004,17436,Tyler,M,16
2004,16446,James,M,17
2004,16435,John,M,18
2004,14840,Dylan,M,19
2004,14621,Nathan,M,20
2003,25683,Emily,F,1
2003,22698,Emma,F,2
2003,20197,Madison,F,3
2003,17628,Hannah,F,4
2003,16141,Olivia,F,5
2003,15917,Abigail,F,6
2003,14857,Alexis,F,7
2003,14512,Ashley,F,8
2003,14090,Elizabeth,F,9
2003,13862,Samantha,F,10
2003,13770,Isabella,F,11
2003,13752,Sarah,F,12
2003,12770,Grace,F,13
2003,12741,Alyssa,F,14
2003,11045,Lauren,F,15
2003,10949,Kayla,F,16
2003,10578,Brianna,F,17
2003,10445,Jessica,F,18
2003,10303,Taylor,F,19
2003,9682,Sophia,F,20
2003,29610,Jacob,M,1
2003,27102,Michael,M,2
2003,25084,Joshua,M,3
2003,23989,Matthew,M,4
2003,22143,Andrew,M,5
2003,21353,Ethan,M,6
2003,21348,Joseph,M,7
2003,21028,Daniel,M,8
2003,20735,Christopher,M,9
2003,20139,Anthony,M,10
2003,19987,William,M,11
2003,19687,Nicholas,M,12
2003,19570,Ryan,M,13
2003,18603,David,M,14
2003,18172,Tyler,M,15
2003,17704,Alexander,M,16
2003,17217,John,M,17
2003,16887,James,M,18
2003,15696,Dylan,M,19
2003,15537,Zachary,M,20
2002,24456,Emily,F,1
2002,21772,Madison,F,2
2002,18814,Hannah,F,3
2002,16528,Emma,F,4
2002,15631,Alexis,F,5
2002,15336,Ashley,F,6
2002,15292,Abigail,F,7
2002,14750,Sarah,F,8
2002,14657,Samantha,F,9
2002,14628,Olivia,F,10
2002,14590,Elizabeth,F,11
2002,12841,Alyssa,F,12
2002,12322,Lauren,F,13
2002,12164,Isabella,F,14
2002,12052,Grace,F,15
2002,11912,Jessica,F,16
2002,11516,Brianna,F,17
2002,11464,Taylor,F,18
2002,11306,Kayla,F,19
2002,10381,Anna,F,20
2002,30554,Jacob,M,1
2002,28237,Michael,M,2
2002,25975,Joshua,M,3
2002,25147,Matthew,M,4
2002,22103,Ethan,M,5
2002,22008,Andrew,M,6
2002,21884,Joseph,M,7
2002,21674,Christopher,M,8
2002,21384,Nicholas,M,9
2002,21302,Daniel,M,10
2002,20115,William,M,11
2002,19578,Anthony,M,12
2002,18658,David,M,13
2002,18260,Tyler,M,14
2002,17705,Alexander,M,15
2002,17656,Ryan,M,16
2002,17436,John,M,17
2002,16950,James,M,18
2002,16622,Zachary,M,19
2002,16270,Brandon,M,20
2001,25051,Emily,F,1
2001,22158,Madison,F,2
2001,20706,Hannah,F,3
2001,16524,Ashley,F,4
2001,16396,Alexis,F,5
2001,15886,Sarah,F,6
2001,15860,Samantha,F,7
2001,14803,Abigail,F,8
2001,14778,Elizabeth,F,9
2001,13973,Olivia,F,10
2001,13915,Jessica,F,11
2001,13686,Taylor,F,12
2001,13303,Emma,F,13
2001,13265,Alyssa,F,14
2001,12778,Lauren,F,15
2001,12083,Grace,F,16
2001,11889,Kayla,F,17
2001,11773,Brianna,F,18
2001,10568,Anna,F,19
2001,10296,Megan,F,20
2001,32523,Jacob,M,1
2001,29675,Michael,M,2
2001,26794,Matthew,M,3
2001,26006,Joshua,M,4
2001,23117,Christopher,M,5
2001,22839,Nicholas,M,6
2001,22403,Andrew,M,7
2001,21990,Joseph,M,8
2001,20969,Daniel,M,9
2001,20094,William,M,10
2001,19727,Anthony,M,11
2001,19327,David,M,12
2001,19268,Tyler,M,13
2001,18879,John,M,14
2001,18285,Ryan,M,15
2001,18182,Zachary,M,16
2001,17959,Ethan,M,17
2001,17889,Brandon,M,18
2001,17065,James,M,19
2001,16713,Alexander,M,20
2000,25952,Emily,F,1
2000,23071,Hannah,F,2
2000,19967,Madison,F,3
2000,17994,Ashley,F,4
2000,17684,Sarah,F,5
2000,17627,Alexis,F,6
2000,17264,Samantha,F,7
2000,15702,Jessica,F,8
2000,15087,Elizabeth,F,9
2000,15078,Taylor,F,10
2000,14172,Lauren,F,11
2000,13552,Alyssa,F,12
2000,13310,Kayla,F,13
2000,13087,Abigail,F,14
2000,12873,Brianna,F,15
2000,12852,Olivia,F,16
2000,12537,Emma,F,17
2000,11433,Megan,F,18
2000,11283,Grace,F,19
2000,10921,Victoria,F,20
2000,34462,Jacob,M,1
2000,32025,Michael,M,2
2000,28566,Matthew,M,3
2000,27529,Joshua,M,4
2000,24927,Christopher,M,5
2000,24650,Nicholas,M,6
2000,23629,Andrew,M,7
2000,22812,Joseph,M,8
2000,22304,Daniel,M,9
2000,21499,Tyler,M,10
2000,20648,William,M,11
2000,20334,Brandon,M,12
2000,20263,Ryan,M,13
2000,20077,John,M,14
2000,19848,Zachary,M,15
2000,19745,David,M,16
2000,19645,Anthony,M,17
2000,17972,James,M,18
2000,17774,Justin,M,19
2000,17278,Alexander,M,20
1999,26535,Emily,F,1
1999,21667,Hannah,F,2
1999,19231,Alexis,F,3
1999,19081,Sarah,F,4
1999,19032,Samantha,F,5
1999,18131,Ashley,F,6
1999,18051,Madison,F,7
1999,16905,Taylor,F,8
1999,16349,Jessica,F,9
1999,15331,Elizabeth,F,10
1999,14035,Alyssa,F,11
1999,13912,Lauren,F,12
1999,13288,Kayla,F,13
1999,12408,Brianna,F,14
1999,12222,Megan,F,15
1999,11864,Victoria,F,16
1999,11719,Emma,F,17
1999,11677,Abigail,F,18
1999,11617,Rachel,F,19
1999,11252,Olivia,F,20
1999,35344,Jacob,M,1
1999,33900,Michael,M,2
1999,30413,Matthew,M,3
1999,27249,Joshua,M,4
1999,25633,Nicholas,M,5
1999,25601,Christopher,M,6
1999,23847,Andrew,M,7
1999,23201,Joseph,M,8
1999,22667,Daniel,M,9
1999,22663,Tyler,M,10
1999,21598,Brandon,M,11
1999,21008,Ryan,M,12
1999,20765,Austin,M,13
1999,20705,William,M,14
1999,20336,John,M,15
1999,20315,David,M,16
1999,19980,Zachary,M,17
1999,19469,Anthony,M,18
1999,18550,James,M,19
1999,18273,Justin,M,20
1998,26177,Emily,F,1
1998,21368,Hannah,F,2
1998,20191,Samantha,F,3
1998,19868,Ashley,F,4
1998,19865,Sarah,F,5
1998,19775,Alexis,F,6
1998,18572,Taylor,F,7
1998,18229,Jessica,F,8
1998,17785,Madison,F,9
1998,15176,Elizabeth,F,10
1998,13709,Alyssa,F,11
1998,13422,Kayla,F,12
1998,13254,Megan,F,13
1998,12907,Lauren,F,14
1998,12192,Rachel,F,15
1998,12144,Victoria,F,16
1998,12046,Brianna,F,17
1998,11095,Abigail,F,18
1998,10904,Amanda,F,19
1998,10686,Jennifer,F,20
1998,36611,Michael,M,1
1998,35997,Jacob,M,2
1998,31135,Matthew,M,3
1998,28084,Joshua,M,4
1998,26995,Christopher,M,5
1998,26630,Nicholas,M,6
1998,23828,Brandon,M,7
1998,23709,Tyler,M,8
1998,23645,Andrew,M,9
1998,23475,Austin,M,10
1998,23168,Joseph,M,11
1998,23132,Daniel,M,12
1998,20861,David,M,13
1998,20825,William,M,14
1998,20608,John,M,15
1998,20577,Zachary,M,16
1998,20193,Ryan,M,17
1998,19679,James,M,18
1998,19624,Anthony,M,19
1998,17970,Justin,M,20
1997,25729,Emily,F,1
1997,21044,Jessica,F,2
1997,20893,Ashley,F,3
1997,20685,Sarah,F,4
1997,20584,Hannah,F,5
1997,20169,Samantha,F,6
1997,19503,Taylor,F,7
1997,17172,Alexis,F,8
1997,15410,Elizabeth,F,9
1997,15187,Madison,F,10
1997,14241,Megan,F,11
1997,13884,Kayla,F,12
1997,13777,Rachel,F,13
1997,13242,Lauren,F,14
1997,12645,Alyssa,F,15
1997,12235,Amanda,F,16
1997,12007,Brianna,F,17
1997,11837,Jennifer,F,18
1997,11790,Victoria,F,19
1997,11527,Brittany,F,20
1997,37543,Michael,M,1
1997,34140,Jacob,M,2
1997,31508,Matthew,M,3
1997,29099,Christopher,M,4
1997,28277,Joshua,M,5
1997,27255,Nicholas,M,6
1997,25190,Brandon,M,7
1997,25184,Andrew,M,8
1997,25116,Austin,M,9
1997,24879,Tyler,M,10
1997,23922,Daniel,M,11
1997,23574,Joseph,M,12
1997,21925,Zachary,M,13
1997,21867,David,M,14
1997,21370,John,M,15
1997,20525,Ryan,M,16
1997,20399,James,M,17
1997,20026,Anthony,M,18
1997,20006,William,M,19
1997,18742,Justin,M,20
1996,25148,Emily,F,1
1996,24189,Jessica,F,2
1996,23675,Ashley,F,3
1996,21023,Sarah,F,4
1996,20544,Samantha,F,5
1996,19150,Taylor,F,6
1996,18591,Hannah,F,7
1996,16585,Alexis,F,8
1996,16103,Rachel,F,9
1996,15986,Elizabeth,F,10
1996,15270,Kayla,F,11
1996,14768,Megan,F,12
1996,13963,Amanda,F,13
1996,13796,Brittany,F,14
1996,13409,Madison,F,15
1996,12597,Lauren,F,16
1996,11922,Brianna,F,17
1996,11856,Victoria,F,18
1996,11728,Jennifer,F,19
1996,11640,Stephanie,F,20
1996,38363,Michael,M,1
